Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
43.157.50.168-10.128.0.42-21926-12141-6,43.157.50.168,21926,10.128.0.42,12141,6,17/12/2023 12:22:01 PM,105,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19047.619047619046,105.0,0.0,105.0,105.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,9523.809523809523,9523.809523809523,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
162.142.125.182-10.128.0.42-36515-12306-6,162.142.125.182,36515,10.128.0.42,12306,6,17/12/2023 12:22:02 PM,34,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58823.529411764706,34.0,0.0,34.0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,29411.764705882353,29411.764705882353,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0,0,0,0,0,0,0,0,NeedManualLabel
185.156.73.107-10.128.0.42-58583-19337-6,185.156.73.107,58583,10.128.0.42,19337,6,17/12/2023 12:22:06 PM,41,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48780.487804878045,41.0,0.0,41.0,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,24390.243902439022,24390.243902439022,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
89.248.163.200-10.128.0.42-47526-8181-6,89.248.163.200,47526,10.128.0.42,8181,6,17/12/2023 12:22:06 PM,93,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21505.376344086024,93.0,0.0,93.0,93.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10752.688172043012,10752.688172043012,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
35.203.211.68-10.128.0.42-49485-19444-6,35.203.211.68,49485,10.128.0.42,19444,6,17/12/2023 12:22:09 PM,19,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105263.15789473684,19.0,0.0,19.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,52631.57894736842,52631.57894736842,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,24,0,0,0,0,0,0,0,0,NeedManualLabel
10.128.0.42-172.253.114.95-43086-443-6,10.128.0.42,43086,172.253.114.95,443,6,17/12/2023 12:20:12 PM,119999015,19,15,1255.0,461.0,559.0,0.0,66.05263157894737,174.876297130988,96.0,0.0,30.733333333333334,34.75108768424516,14.300117380130162,0.283335659046868,3636333.7878787885,6460294.625798995,1.5249231E7,0.0,1.19999015E8,6666611.944444445,7561801.342597197,1.5250027E7,3.0,8.9499279E7,6392805.642857143,7595450.431531321,1.5250423E7,0.0,0,0,0,0,608,480,0.1583346329967792,0.12500102605008884,0.0,559.0,49.028571428571425,130.6442150436434,17067.910924369742,0,0,0,12,34,0,0,0,0.0,50.470588235294116,66.05263157894737,30.733333333333334,0,0,0,858,6,3419,2,156,1,57,473,495,4,32,143732.57142857142,243565.53488596392,501151.0,796.0,1.4874110875E7,497559.91821558174,1.5249231E7,1.3999778E7,NeedManualLabel
35.203.210.209-10.128.0.42-53359-27170-6,35.203.210.209,53359,10.128.0.42,27170,6,17/12/2023 12:22:14 PM,35,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57142.857142857145,35.0,0.0,35.0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,28571.428571428572,28571.428571428572,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,24,0,0,0,0,0,0,0,0,NeedManualLabel
35.203.210.149-10.128.0.42-57092-9998-6,35.203.210.149,57092,10.128.0.42,9998,6,17/12/2023 12:22:19 PM,37,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54054.05405405405,37.0,0.0,37.0,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,27027.027027027027,27027.027027027027,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,24,0,0,0,0,0,0,0,0,NeedManualLabel
35.203.210.187-10.128.0.42-55345-65531-6,35.203.210.187,55345,10.128.0.42,65531,6,17/12/2023 12:22:24 PM,15,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133333.33333333334,15.0,0.0,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,66666.66666666667,66666.66666666667,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,24,0,0,0,0,0,0,0,0,NeedManualLabel
10.128.0.42-216.239.32.174-48076-443-6,10.128.0.42,48076,216.239.32.174,443,6,17/12/2023 12:21:56 PM,30497807,10,9,2169.0,5179.0,1312.0,0.0,216.89999999999995,414.88698595052495,4762.0,0.0,575.4444444444445,1574.3905258155544,240.93535643398883,0.6229956140780876,1694322.6111111112,7126675.778639973,3.0249591E7,0.0,3.0496889E7,3388543.222222222,1.007321359364803E7,3.0249591E7,94.0,3.0496804E7,3812100.5,1.0683138759309443E7,3.025072E7,0.0,0,0,0,0,340,296,0.3278924284621514,0.29510318561593624,0.0,4762.0,367.40000000000015,1079.2261555099756,1164729.094736842,2,2,0,9,18,0,0,0,0.0,386.7368421052632,216.9,575.4444444444445,0,0,0,7324,8,29819,10,2169,9,5179,65320,282,5,32,247111.0,0.0,247111.0,247111.0,3.0249591E7,0.0,3.0249591E7,3.0249591E7,NeedManualLabel
